Titel,Projekt,Livsmedelsnummer,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag
Mimosasallad,2014 2015 NKMT beräknade livsmedel,55,Apium graveolens var. rapaceum (Mill.) Gaudin,"Dressing, majonnäs (A0859)",Fruktproducerande planta (B1140),"Frukt eller bär, skal borttaget, kärna eller frö borttaget (C0229)",Delad i bitar (E0152),Ej värmebehandlad (rå) (F0003),Tillagningsmetod okänd (G0001),Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Rödbetssallad gräddfil,2014 2015 NKMT beräknade livsmedel,56,Beta vulgaris var. vulgaris,"Dressing, majonnäs (A0859)",Rödbeta (B2940),Rot (C0306),Halvfast med fasta bitar (E0134),Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Skaldjurssallad m majonnäsdressing,2014 2015 NKMT beräknade livsmedel,57,Lycopersicon esculentum Mill.,Färdigsallad (A0866),Tomat (B1276),"Frukt eller bär, oskalad, kärna kvar (C0140)",Hel och i delar (E0104),Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Bearnaisesås,2014 2015 NKMT beräknade livsmedel,58,Lycopersicon esculentum Mill.,Sås (A0862),Olje producerande planta (B1017),Olja från frön (C0307),"Flytande, hög viskositet (trögflytande) (E0102)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Hollandaisesås,2014 2015 NKMT beräknade livsmedel,59,Lycopersicon esculentum Mill.,Sås (A0862),Olje producerande planta (B1017),Olja från frön (C0307),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Rhode Island sås,2014 2015 NKMT beräknade livsmedel,60,Bos taurus,Sås (A0862),Ko (B1201),Grädde - mjölkfett 18%> (C0195),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Delvis värmebehandlad (F0018),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Dressing vinägrett fett 65%,1989,62,Bos taurus,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200),Okänd konserveringsmetod (J0001),Förpackat i vinäger (K0029),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett >60% (Z0194)
Bearnaisesås fryst el pulver tillagad,1989,63,Bos taurus,Sås (A0862),Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),"Rehydrerad (H0259); Smaksatt, krydda eller ört tillsatt (H0227)",Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Hollandaisesås fryst el pulver tillagad,1989,64,Bos taurus,Sås (A0862),Ko (B1201),Smör - grädde 80%> (C0179),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),"Rehydrerad (H0259); Smaksatt, kryddor (H0229); Syrad (H0200); Äggula tillförd (H0185)",Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Mesost fett 17% berik typ Fjällbrynt,"2001 Mesost, vildris",65,Bos taurus,Övriga ostprodukter (A0787),Ko (B1201),Vassle (C0244),"Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Berikad (H0194); Mjölk eller mjölkprodukt tillförd (H0297); Socker eller sirap tillfört (H0136),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 15-30% (Z0185)
Mesost fett ca 30% berik,"2001 Mesost, vildris",66,Bos taurus,Övriga ostprodukter (A0787),Ko (B1201),Vassle (C0244),"Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Berikad (H0194); Mjölk eller mjölkprodukt tillförd (H0297); Socker eller sirap tillfört (H0136),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 30-45% (Z0196)
Mesost lätt fett 9% berik,"2001 Mesost, vildris",67,Bos taurus,Övriga ostprodukter (A0787),Ko (B1201),Vassle (C0244),"Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Mjölk eller mjölkprodukt tillförd (H0297); Socker eller sirap tillfört (H0136),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett <15% (Z0186)
Messmör fett 5% berik,"2001 Mesost, vildris",68,Bos taurus,Övriga ostprodukter (A0787),Ko (B1201),Vassle (C0244),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Berikad (H0194); Mjölk eller mjölkprodukt tillförd (H0297); Socker eller sirap tillfört (H0136),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett <15% (Z0186)
Messmör fett 2% berik,"2001 Mesost, vildris",69,Bos taurus,Övriga ostprodukter (A0787),Ko (B1201),Vassle (C0244),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Berikad (H0194),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 1-2.9% (Z0180)
Keso färskost fett 4%,"2000 ost, julskinka",70,Bos taurus,Färskost (A0786),Ko (B1201),Ostmassa (C0245),Halvfast med fasta bitar (E0134),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Mjölk tillförd (H0184); Mjölksyre fermenterad (H0101),Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 3-4% (Z0179)
Keso färskost ananas apelsin fett 3%,2005 Riksmaten2,71,Bos taurus,Färskost (A0786),Ko (B1201),Ostmassa (C0245),Halvfast med fasta bitar (E0134),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Frukt tillfört (H0147); Mjölk tillförd (H0184); Mjölksyre fermenterad (H0101); Modifierad stärkelse tillfört (H0279); Saltad (H0173); Socker eller sirap tillfört (H0136),Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett 3-4% (Z0179)
"Keso färskost chili pesto lök feta fett 3,5-5%",2005 Riksmaten2,72,Bos taurus,Färskost (A0786),Ko (B1201),Ostmassa (C0245),Halvfast med fasta bitar (E0134),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151); Mjölk tillförd (H0184); Mjölksyre fermenterad (H0101); Modifierad stärkelse tillfört (H0279); Ost tillförd (H0143); Saltad (H0173); Socker eller sirap tillfört (H0136),Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett <15% (Z0186)
Färskost på filmjölk fett ca 8%,"2000 ost, julskinka",73,Bos taurus,Färskost (A0786),Ko (B1201),Ostmassa (C0245),Halvfast med fasta bitar (E0134),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Mjölk eller mjölkprodukt tillförd (H0297); Mjölksyre fermenterad (H0101),Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett <15% (Z0186)
Färskost på filmjölk o gräddfil fett ca 14%,"2000 ost, julskinka",74,Bos taurus,Färskost (A0786),Ko (B1201),Ostmassa (C0245),Halvfast med fasta bitar (E0134),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Mjölk eller mjölkprodukt tillförd (H0297); Mjölksyre fermenterad (H0101),Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett <15% (Z0186)
Kvarg färskost fett 1% Kesella lätt,"2000 ost, julskinka",75,Bos taurus,Färskost (A0786),Ko (B1201),Ostmassa (C0245),Halvfast med fasta bitar (E0134),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Fett delvis borttagen, 50% eller mer kva (H0324); Mjölk tillförd (H0184); Mjölksyre fermenterad (H0101)",Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Lätt eller light (P0132); Människoföda (P0026),Sverige (R0376),Fett 1-2.9% (Z0180)
Kvarg färskost fett 10% Kesella,"2000 ost, julskinka",76,Bos taurus,Färskost (A0786),Ko (B1201),Ostmassa (C0245),Halvfast med fasta bitar (E0134),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Mjölk tillförd (H0184); Mjölksyre fermenterad (H0101),Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett <15% (Z0186)
Ost hårdost fett 10%,"2000 ost, julskinka",77,Bos taurus,Hårdost (A0311),Ko (B1201),Ostmassa (C0245),Fast (E0151),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Mjölksyra, andra kulturer fermenterad (H0107)",Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett <15% (Z0186); Naturlig ostkant (Z0147)
Ost hårdost fett 23%,"2000 ost, julskinka",78,Bos taurus,Hårdost (A0311),Ko (B1201),Ostmassa (C0245),Fast (E0151),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Mjölksyra, andra kulturer fermenterad (H0107)",Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 15-30% (Z0185); Naturlig ostkant (Z0147)
Ost hårdost fett 26%,"2000 ost, julskinka",79,Bos taurus,Hårdost (A0311),Ko (B1201),Ostmassa (C0245),Fast (E0151),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Mjölksyra, andra kulturer fermenterad (H0107)",Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 15-30% (Z0185); Naturlig ostkant (Z0147)
Ost hårdost fett 38%,"2000 ost, julskinka",80,Bos taurus,Hårdost (A0311),Ko (B1201),Ostmassa (C0245),Fast (E0151),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Mjölksyra, andra kulturer fermenterad (H0107)",Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 30-45% (Z0196); Naturlig ostkant (Z0147)
Camembert vitmögelost fett 23%,1989,81,Bos taurus,Mjukost (A0314),Ko (B1201),Ostmassa (C0245),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Yta bakterie (H0327); Yta mögel (H0330),Konserverad genom fermentering (J0104); Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 15-30% (Z0185); Mögelostkant (Z0073)
Ädelost grönmögelost fett 30%,1989,82,Bos taurus,Mjukost (A0314),Ko (B1201),Ostmassa (C0245),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Bakterie lagrad (H0326); Mögel lagrad (H0329),Konserverad genom fermentering (J0104); Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 15-30% (Z0185)
Mjukost smältost fett 8%,1989,83,Bos taurus,Mjukost (A0314),Ko (B1201),Ostmassa (C0245),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Homogeniserad eller emulsifierad (H0306); Mikrobiologiskt eller enzymatiskt föränd (H0119),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett <15% (Z0186)
Mjukost smältost fett 10%,1989,84,Bos taurus,Mjukost (A0314),Ko (B1201),Ostmassa (C0245),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Homogeniserad eller emulsifierad (H0306); Mikrobiologiskt eller enzymatiskt föränd (H0119),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett <15% (Z0186)
Mjukost smältost fett 20%,1989,85,Bos taurus,Mjukost (A0314),Ko (B1201),Ostmassa (C0245),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Homogeniserad eller emulsifierad (H0306); Mikrobiologiskt eller enzymatiskt föränd (H0119),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 15-30% (Z0185)
Mjukost smältost fett ca 16%,1989,86,Bos taurus,Mjukost (A0314),Ko (B1201),Ostmassa (C0245),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Homogeniserad eller emulsifierad (H0306); Mikrobiologiskt eller enzymatiskt föränd (H0119),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 15-30% (Z0185)
Mjukost smältost fett 4%,1989,87,Bos taurus,Mjukost (A0314),Ko (B1201),Ostmassa (C0245),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Homogeniserad eller emulsifierad (H0306); Mikrobiologiskt eller enzymatiskt föränd (H0119),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 3-4% (Z0179)
Margarinost fett 16%,"2000 ost, julskinka",88,Bos taurus,Övriga ostprodukter (A0787),Ko (B1201),Ostmassa (C0245),Fast (E0151),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Mjölksyra, andra kulturer fermenterad (H0107); Vegetabiliskt fett eller olja tillfört (H0263)",Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 15-30% (Z0185)
Margarinost fett 30%,"2000 ost, julskinka",89,Bos taurus,Övriga ostprodukter (A0787),Ko (B1201),Ostmassa (C0245),Fast (E0151),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Mjölksyra, andra kulturer fermenterad (H0107); Vegetabiliskt fett eller olja tillfört (H0263)",Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 30-45% (Z0196)
Ost hårdost fett 5%,2004 Mejeriprodukter,90,Bos taurus,Hårdost (A0311),Ko (B1201),Ostmassa (C0245),Fast (E0151),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Mjölksyra, andra kulturer fermenterad (H0107)",Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett <15% (Z0186); Naturlig ostkant (Z0147)
Ost hårdost fett 7%,2004 Mejeriprodukter,91,Bos taurus,Hårdost (A0311),Ko (B1201),Ostmassa (C0245),Fast (E0151),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Mjölksyra, andra kulturer fermenterad (H0107)",Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett <15% (Z0186); Naturlig ostkant (Z0147)
Brieost vitmögelost fett 34%,2004 Barn extra,92,Bos taurus,Mjukost (A0314),Ko (B1201),Ostmassa (C0245),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Yta bakterie (H0327); Yta mögel (H0330),Konserverad genom fermentering (J0104); Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Frankrike (R0219),Fett 30-45% (Z0196); Mögelostkant (Z0073)
