Livsmedelsnamn,Livsmedelsnummer,Energi (kcal),Energi (kJ),Kolhydrater (g),Fett (g),Protein (g),Fibrer (g),Vatten (g),Alkohol (g),Aska (g),Monosackarider (g),Disackarider (g),Sackaros (g),Fullkorn totalt (g),Sockerarter (g),Summa mättade fettsyror (g),Fettsyra 4:0-10:0 (g),Fettsyra 12:0 (g),Fettsyra 14:0 (g),Fettsyra 16:0 (g),Fettsyra 18:0 (g),Fettsyra 20:0 (g),Summa enkelomättade fettsyror (g),Fettsyra 16:1 (g),Fettsyra 18:1 (g),Summa fleromättade fettsyror (g),Fettsyra 18:2 (g),Fettsyra 18:3 (g),Fettsyra 20:4 (g),EPA (Fettsyra 20:5) (g),DPA (Fettsyra 22:5) (g),DHA (Fettsyra 22:6) (g),Kolesterol (mg),Retinol (µg),Vitamin A (µg),β-Karoten (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Tiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinekvivalenter (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folat (µg),Fosfor (mg),Jod (µg),Järn (mg),Kalcium (mg),Kalium (mg),Magnesium (mg),Natrium (mg),Salt (g),Selen (µg),Zink (mg),Avfall (skal etc.) (%),Projekt,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag,Exempelvis,Visningsnamn,Söksträngar
Smör fett 80 %,29,728.8,3049.3,0.5,82,0.4,0,15.91,0,0.57,0,0.5,0,0,NULL,54.99,8.14,2.77,8.81,24.8,7.67,0.13,19.1,1.32,16.59,2.95,2.24,0.51,0.09,0,0,0,256,588,619.9,380,0.51,2.1,7.4,0,0,0,0,0.1,0,0,0,0,4,0,0,0,0,480,1.2,0,0,0,2012 Matfett,Bos taurus,Smör (A0809),Ko (B1201),Smör - grädde 80%> (C0179),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Mjölksyra, andra kulturer fermenterad (H0107); Saltad (H0173); Vatten tillfört (H0148)",Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett >60% (Z0194),,Smör,"smör, smör 80%"
Smör extrasaltat fett 80%,30,727.5,3044.1,0.48,81.8,0.55,0,15.91,0,1.2,0,0.4,0,0,NULL,52.39,6.1,2.58,8.52,25.26,8.45,0.16,22.68,1.64,19.78,2.89,2.03,0.39,0.08,0.08,0.08,0,256,667.3,697,369,0.56,1.84,NULL,0.01,0.02,0,0.1,0.24,0,0,3,26,NULL,0.2,18,20,3,790,1.98,0.5,0.1,0,2010 Margariner,Bos taurus,Smör (A0809),Ko (B1201),Smör - grädde 80%> (C0179),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Mjölksyra, andra kulturer fermenterad (H0107); Saltad (H0173); Vatten tillfört (H0148)",Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett >60% (Z0194),,Smör extrasaltat,smör extrasaltat
Smör osaltat fett 80%,31,727.5,3044.1,0.48,81.8,0.55,0,15.91,0,1.2,0,0.4,0,0,NULL,52.39,6.1,2.58,8.52,25.26,8.45,0.16,22.68,1.64,19.78,2.89,2.03,0.39,0.08,0.08,0.08,0,256,667.3,697,369,0.56,1.84,NULL,0.01,0.02,0,0.1,0.24,0,0,3,24,NULL,0.2,15,0,2,8,0.02,0.5,0,0,2010 Margariner,Bos taurus,Smör (A0809),Ko (B1201),Smör - grädde 80%> (C0179),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Mjölksyra, andra kulturer fermenterad (H0107); Vatten tillfört (H0148)",Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Ej salt (P0078); Människoföda (P0026),Sverige (R0376),Fett >60% (Z0194),,Smör osaltat,smör osaltat
Druvkärnolja,33,884.3,3700,0,100,0,0,0,0,0,0,0,0,0,NULL,11.2,0,0,0,6.79,3.63,0.38,18.2,0.1,17.8,66.7,65.9,0.38,0,0,0,0,0,0,0,0,0,29,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,1989,Vitis vinifera L. ssp.,Vegetabiliskt fett och olja (A0806),Vindruva (B1329),Olja från skal (C0302),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Druvkärnolja,druvkärnolja
Majsolja,34,884.3,3700,0,100,0,0,0,0,0,0,0,0,0,NULL,12.91,0,0,0,10.32,1.82,0.38,28.2,0.1,27.72,54.49,53.63,0.86,0,0,0,0,0,0,0,0,0,16.8,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011 Olja,Zea mays L.,Vegetabiliskt fett och olja (A0806),Majsolja (B1379),Fett eller olja (C0190),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Värmebehandlad (F0022),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Flaska (M0214),Glas (N0040),Människoföda (P0026),Europa (R0355),,,Majsolja,majsolja
Olivolja,35,884.3,3700,0,100,0,0,0,0,0,0,0,0,0,NULL,14.34,0,0,0,11.09,2.68,0.38,72.56,1.15,70.74,8.8,8.13,0.67,0,0,0,0,0,0,1,11,0,17.5,51.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011 Olja,Olea europaea L. var.,Vegetabiliskt fett och olja (A0806),Olivolja (B1299),Fett eller olja (C0190),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Värmebehandlad (F0022),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Flaska (M0214),Glas (N0040),Människoföda (P0026),Sydeuropa (R0358),,,Olivolja,olivolja
Tistelolja,37,884.3,3700,0,100,0,0,0,0,0,0,0,0,0,NULL,8.99,0,0,0,6.21,2.2,0.29,10.9,0,10.6,75.7,75.5,0.19,0,0,0,0,0,0,0,0,0,34,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,1989,Carthamus tinctorius,Vegetabiliskt fett och olja (A0806),Tistelolja (B1548),Fett eller olja (C0190),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Tistelolja,tistelolja
Sesamolja,38,884.3,3700,0,100,0,0,0,0,0,0,0,0,0,NULL,14.8,0,0,0,8.6,5.45,0.57,39.1,0,38.9,41.7,41.3,0.38,0,0,0,0,0,0,0,0,0,1.4,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,1989,Sesamum indicum L.,Vegetabiliskt fett och olja (A0806),Sesamfrön (B1226),Olja från frön (C0307),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Sesamolja,sesamolja
Sojaolja,39,884.3,3700,0,100,0,0,0,0,0,0,0,0,0,NULL,14.9,0,0,0,10.1,4.11,0.29,22.3,0,22,58.4,51.1,7.36,0,0,0,0,0,0,0,0,0,12,NULL,0,0,0,0,0,0,0,0,0.2,NULL,0,0,0,0,0,0,0,0,0,1989,Glycine max,Vegetabiliskt fett och olja (A0806),Sojaolja (B1452),Olja från frön (C0307),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Sojaolja,sojaolja
Solrosolja,40,884.3,3700,0,100,0,0,0,0,0,0,0,0,0,NULL,10.42,0,0,0.1,5.83,3.25,0.29,28.87,0.1,28.58,56.31,56.21,0.1,0,0,0,0,0,0,0,0,0,60.5,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011 Olja,Helianthus annuus L.,Vegetabiliskt fett och olja (A0806),Solrosolja (B1547),Olja från frön (C0307),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Värmebehandlad (F0022),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Flaska (M0214),Glas (N0040),Människoföda (P0026),Europa (R0355),,,Solrosolja,solrosolja
Vetegroddsolja,41,884.3,3700,0,100,0,0,0,0,0,0,0,0,0,NULL,16.6,0,0,0,15.1,1.34,0.19,19.3,0,18,59.7,54.2,5.45,0,0,0,0,0,0,0,0,0,149,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,3.8,0,1989,Triticum aestivum L.,Vegetabiliskt fett och olja (A0806),Vete (B1312),Olja från groddar (C0297),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Vetegroddsolja,vetegroddsolja
Dressing fett ca 25%,42,262.5,1098.4,9.7,25,0.5,0,63,0,1.8,2.1,1.5,1.5,0,NULL,3.7,0,0,0,2.68,0.93,0.05,5.81,0.02,5.66,14.4,12.5,1.84,0,0,0,0,26,6,6,0,0,2.8,NULL,0.01,0.03,0,0.1,0.18,0.02,0,0,14,NULL,0.2,8.9,9,2,710,1.78,0.5,0.1,0,1989,Triticum aestivum L.,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 15-30% (Z0185),,,
Dressing majonnäs fett ca 60%,43,572.4,2394.8,9.5,59.9,1,0,28.2,0,1.4,2.1,10.4,10.4,0,12.5,9.22,0,0,0,6.19,2.23,0.23,13.81,0,13.64,34.32,29.97,4.35,0,0,0,0,90,113,113,0,0,3.7,NULL,0.01,0.03,0,0.08,0.33,0.08,0.8,10,35,NULL,0.2,11,10,7,350,0.88,1,0.2,0,1989,Triticum aestivum L.,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200); Äggula tillförd (H0185),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 46-60% (Z0195),,,
Dressing majonnäs fett ca 40%,44,453.6,1898.1,24,40,0.5,0.2,33.2,0,2.1,3.1,18.6,18.6,0,21.7,6.12,0,0,0,4.17,1.52,0.15,9.83,0,9.75,22.26,19.7,2.56,0,0,0,0,26,2,2,0,0,2.5,NULL,0.01,0.02,0,0,0.13,0.02,0.2,7,17,NULL,0.3,11,142,4.6,680,1.7,0.5,0.1,0,1989,Triticum aestivum L.,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200); Äggula tillförd (H0185),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 30-45% (Z0196),,,
Dressing majonnäs fett ca 25%,45,303.1,1268.4,19.7,25,0.5,0,53.4,0,1.4,1.6,16.6,16.6,0,18.2,3.79,0,0,0,2.63,0.92,0.09,5.29,0,5.24,14.62,12.72,1.9,0,0,0,0,26,7,7,0,0,1.4,NULL,0.01,0.02,0,0,0.13,0.02,0,4.5,2,NULL,0.1,13.5,21.6,3.8,690,1.73,0.5,0.1,0,1989,Triticum aestivum L.,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200); Äggula tillförd (H0185),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 15-30% (Z0185),,,
Dressing olja fett ca 45%,46,415.7,1739.2,8,43.1,0.5,0,45.9,0,2.5,2.1,1.5,1.5,0,3.6,6.34,0,0,0,4.28,1.69,0.16,9.64,0,9.56,25.17,22,3.17,0,0,0,0,0,3,3,0,0,2,NULL,0.01,0.02,0,0,0.08,0.01,0,1,5,NULL,0.2,10,15,1,216,0.54,0.5,0.1,0,1989,Triticum aestivum L.,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 30-45% (Z0196),,,
Dressing olja fett ca 25%,47,303.9,1271.5,15,26.6,1.9,0,54.3,0,2.2,4.1,8.4,8,0,12.5,2.08,0,0,0,1.45,0.43,0.13,15.32,0.08,14.27,7.95,5.51,2.44,0,0,0,0,0,6,6,0,0,4.9,NULL,0.01,0.02,0,0,0.32,0,0,1,15,NULL,0.4,12.3,85,5,1015,2.54,0.5,0.1,0,1989,Triticum aestivum L.,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 15-30% (Z0185),,,
Dressing majonnäs lätt fett ca 15%,48,216.8,907.1,20.8,14.5,1,0,62.3,0,1.4,3.3,15,15,0,18.3,2.17,0,0,0,1.43,0.57,0.06,3.45,0,3.34,8.27,7.28,0.99,0,0,0,0,0,6,6,0,0,1.9,NULL,0.01,0.02,4,0.3,0.55,0,0,1,9,NULL,0.3,6,85,5,611,1.53,0.1,0.1,0,1989,Triticum aestivum L.,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200); Äggula tillförd (H0185),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Lätt eller light (P0132); Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 15-30% (Z0185),,,
Dressing fett 0%,49,59.7,249.9,13.1,0,1.6,0,80,0,5.3,1.2,9.2,9.2,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.2,NULL,0,0,0,0,0.27,0,0,0,5,NULL,0.5,13,21,3,149.5,0.37,0,0,0,1989,Aqua,"Dressing, majonnäs (A0859)",Vatten (B1217),Del av växt eller djur inte applicerbart (kemiskt ämne) (C0005),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Värmebehandling okänd (F0001),Tillagningsmetod okänd (G0001),Grönsak tillförd (H0212); Saltad (H0173); Socker eller sirap tillfört (H0136); Syrad (H0200),Konserverad genom att tillföra kemikalie (J0100),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,,
Majonnäs fett 80%,50,717.6,3002.5,1.5,80,1,0,16.4,0,1.1,0,2,2,0,NULL,7.57,0,0,0,5.66,1.61,0.23,15.4,0.15,15,50.3,44.7,5.66,0,0,0,0,120,150,150,0,0,4.9,NULL,0.01,0.04,0,0.1,0.35,0.1,1,14,35,NULL,0.2,11,10,7,350,0.88,1,0.2,0,1989,Aqua,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200); Äggula tillförd (H0185),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Majonnäs,majonnäs 80%
Gurkmajonnäs el gurksallad gatukök,51,332.6,1391.7,10.9,32,0.8,1.1,54,0,1.2,5.6,4.6,4.6,0,NULL,3.76,0,0,0,2.48,0.93,0.15,13.2,0.06,12.76,13.52,11.1,2.43,0,0,0,0,48,60,79.2,230,0,2.08,NULL,0,0.01,0,0.34,0.54,0.01,0.2,12.8,50,NULL,0.6,24,23.5,9.6,187,0.47,0.4,0.2,0,1989,Cucumis sativus L. var. sativus,Färdigsallad (A0866),Gurka (B1404),"Frukt eller bär, oskalad, kärna kvar (C0140)",Halvflytande med fasta bitar (E0110),Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Kryddor eller örter tillsatt (H0151); Syrad (H0200); Vegetabiliskt fett eller olja tillfört (H0263); Äggula tillförd (H0185),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,,
Räkmajonnäs el räksallad gatukök,52,457.4,1913.7,2.9,48,5.2,0,42.5,0,1.4,0,1.2,1.2,0,NULL,5.71,0,0,0,3.83,1.4,0.23,19.55,0.09,18.93,20.42,16.8,3.63,0,0,0,0,101,93,93,0,0.12,3.23,NULL,0.01,0.03,0,0.4,1.7,0.07,1,10,71,NULL,0.7,31,29.5,13.8,396.6,0.99,4.5,0.3,0,1989,Cucumis sativus L. var. sativus,Färdigsallad (A0866),Olje producerande planta (B1017),Fett eller olja (C0190),Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Fisk och skaldjur tillfört (H0153); Kryddor eller örter tillsatt (H0151); Syrad (H0200); Äggula tillförd (H0185),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,,
"Lättmajonnäs 32,5% fett",53,326.8,1367.4,8.5,32.5,1.2,0,56.2,0,1.6,0.1,1.8,1.8,0,NULL,3.1,0,0,0,1.24,0.65,0.09,6.2,0.06,6.09,20.44,18.1,2.3,0,0,0,0,40,60,60,0,0,2.5,NULL,0,0.02,0,0.04,0.34,0.04,0.4,7,26,NULL,0.1,14,9,2,500,1.25,1,0.1,0,1989,Cucumis sativus L. var. sativus,"Dressing, majonnäs (A0859)",Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Syrad (H0200); Äggula tillförd (H0185),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Fett 30-45% (Z0196),,Lättmajonnäs,"lättmajonnäs, majonnäs lätt, majonnäs 32,5%"
Mimosasallad,55,147.5,617.1,9.17,11.79,0.78,1.46,76.02,0,0.77,4.86,3.58,3.32,0,NULL,3.27,0.27,0.12,0.4,1.78,0.56,0.05,6.12,0.13,5.83,1.66,1.22,0.43,0.01,0,0,0,17.51,37.2,42.5,63,0.03,2.63,NULL,0.04,0.04,16.3,0.4,0.55,0.04,0.06,11.7,21.3,NULL,0.4,23.1,131.3,7.8,153.4,0.38,0.71,0.12,13.3,2014 2015 NKMT beräknade livsmedel,Apium graveolens var. rapaceum (Mill.) Gaudin,"Dressing, majonnäs (A0859)",Fruktproducerande planta (B1140),"Frukt eller bär, skal borttaget, kärna eller frö borttaget (C0229)",Delad i bitar (E0152),Ej värmebehandlad (rå) (F0003),Tillagningsmetod okänd (G0001),Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,Mimosasallad,mimosasallad
Rödbetssallad gräddfil,56,66.7,278.8,10.05,2.02,1.25,1.48,83.76,0,1.47,3.83,5.66,5.1,0,NULL,1.29,0.2,0.06,0.2,0.58,0.22,0,0.46,0.02,0.43,0.07,0.05,0.02,0,0,0,0,5.69,16.2,17.7,18,0.01,0.14,NULL,0.01,0.02,2.8,0.09,0.38,0.03,0.04,14.6,27,NULL,0.35,30.1,141.9,8.3,464.3,1.16,0.28,0.23,2.2,2014 2015 NKMT beräknade livsmedel,Beta vulgaris var. vulgaris,"Dressing, majonnäs (A0859)",Rödbeta (B2940),Rot (C0306),Halvfast med fasta bitar (E0134),Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,Rödbetssallad,rödbetssallad
Skaldjurssallad m majonnäsdressing,57,112.3,469.9,2.5,8.62,5.9,1,80.43,0,1.35,1.13,0.57,0.37,0,NULL,1.64,0.1,0.04,0.14,0.98,0.3,0.03,4.71,0.11,4.47,1.58,1.07,0.38,0.01,0.04,0,0.04,52.24,30.8,56.1,232,0.11,2.97,NULL,0.05,0.12,8.8,0.86,1.99,0.07,1.21,32.6,86,NULL,0.82,34.7,166.8,19.1,262.2,0.66,12.31,0.67,17.4,2014 2015 NKMT beräknade livsmedel,Lycopersicon esculentum Mill.,Färdigsallad (A0866),Tomat (B1276),"Frukt eller bär, oskalad, kärna kvar (C0140)",Hel och i delar (E0104),Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,,
Bearnaisesås,58,496.3,2076.4,1.18,54.44,2.55,0.1,40.14,0,0.99,0.21,0.14,0.06,0,NULL,6.11,0.07,0.03,0.13,3.79,1.42,0.27,31.09,0.28,30.02,14.42,10.22,3.99,0.06,0,0,0.05,152.72,252,267.6,185,2.88,15.1,NULL,0.03,0.07,2.8,0.03,0.65,0.03,0.48,38.3,86,NULL,0.59,30.5,40.9,5.5,258.4,0.65,9.03,0.56,NULL,2014 2015 NKMT beräknade livsmedel,Lycopersicon esculentum Mill.,Sås (A0862),Olje producerande planta (B1017),Olja från frön (C0307),"Flytande, hög viskositet (trögflytande) (E0102)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,Bearnaisesås,bearnaisesås
Hollandaisesås,59,552.4,2311,0.45,61.05,2.77,0,34,0,1.07,0.1,0.12,0.03,0,NULL,6.85,0.08,0.04,0.15,4.24,1.6,0.31,34.86,0.31,33.67,16.17,11.47,4.47,0.07,0,0,0.05,171.28,282.6,292.5,115,3.23,16.9,NULL,0.03,0.08,2,0,0.69,0.03,0.54,40.5,90.8,NULL,0.54,25.8,23.7,3,286.6,0.72,10.24,0.58,NULL,2014 2015 NKMT beräknade livsmedel,Lycopersicon esculentum Mill.,Sås (A0862),Olje producerande planta (B1017),Olja från frön (C0307),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,Hollandaisesås,hollandaisesås
Rhode Island sås,60,359.5,1504,6.39,36.73,1.97,0.36,52.77,0,1.69,1.79,3.66,2.39,0,NULL,8.98,0.78,0.3,1,4.92,1.6,0.15,20.11,0.34,19.28,5.52,4.04,1.43,0.02,0,0.01,0.01,50.46,97,142.5,546,0.12,6.99,NULL,0.04,0.08,4.5,0.36,0.79,0.05,0.21,15.6,53.2,NULL,0.5,52.3,171.3,11,451.9,1.13,2.21,0.29,0,2014 2015 NKMT beräknade livsmedel,Bos taurus,Sås (A0862),Ko (B1201),Grädde - mjölkfett 18%> (C0195),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Delvis värmebehandlad (F0018),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,,
